id,company,year,scope,value,category,source,source_link,notes
36b7fa9c-e3b8-4d0e-a39e-16707c564037,Do & Co AG,2015,3,,,,,
44d4fe0d-963c-46d0-8e57-76cd36a1e8a6,OMV AG,2015,2,,market_based,Nachhaltigkeitsbericht 2019,https://drive.google.com/file/d/1JfzgHGtWxbYUr_SN4h4CiAbYm9cMMMBB/view?usp=drive_link,
1da07f07-09f4-4704-9128-ed9c71abaae7,CA Immobilien Anlagen AG,2015,2,,unclear,,,
503175d4-102c-4697-84fd-00125372e45a,CA Immobilien Anlagen AG,2015,2,,market_based,,,
38033c91-de11-4a63-be2b-bdd3ad12c7ff,Andritz AG,2015,3,,,,,
03389a5a-6201-4e0b-a5bf-c70ef9fd56e9,Schoeller-Bleckmann Oilfield Equipment AG,2015,3,,,,,
1d58a91e-c108-4855-a6de-792944701996,Wienerberger AG,2015,2,,market_based,,,
508ca164-0ab0-4a75-ac27-0e1d181e08fb,Raiffeisen Bank International AG,2015,2,5296,location_based,Nachhaltigkeitsbericht 2017,https://drive.google.com/file/d/1ex5EWxaSt3Uh4Un3Egfg1y9yIrJEjP-2/view?usp=drive_link,
18179e22-0b71-40a9-b4fd-77a745d318a6,Vienna Insurance Group AG,2015,1,,,,,
12613c18-ff27-467f-8289-57b48648a331,Erste Group Bank AG,2015,2,,market_based,,,
5d782762-ef68-4897-b6a3-59f0d5a58b6a,OMV AG,2015,2,400000,unclear,Nachhaltigkeitsbericht 2019,https://drive.google.com/file/d/1JfzgHGtWxbYUr_SN4h4CiAbYm9cMMMBB/view?usp=drive_link,
7b6e5158-5ee2-4ec9-a4d7-7f3c277cee38,Voestalpine AG,2015,2,,location_based,Corporate Responsibility Report 2015/16,https://drive.google.com/file/d/1IcGOBSwD6GU2W1ewV6gcbwEdOa_PtbI9/view?usp=drive_link,
0e35e63c-dd07-4ae6-a7d4-92a15512802b,Schoeller-Bleckmann Oilfield Equipment AG,2015,2,,location_based,,,
0d41beef-8f96-42ec-820a-d31a2160185d,BAWAG Group AG,2015,2,,market_based,CSR Report 2017,https://drive.google.com/file/d/1ujPGg4sdu83CYyTqLSHvk-Scs0UHtMlo/view?usp=drive_link,
5e47f1f8-ccd8-4a9f-b6c4-e9922a3add99,Vienna Insurance Group AG,2015,2,,market_based,,,
045a456b-45b5-40ce-9a12-8374cfd65248,Österreichische Post AG,2015,2,,market_based,,,
43880d7f-7668-450b-8ef9-03eee6355da4,Wienerberger AG,2015,2,,unclear,,,
40fce29e-55ad-463b-902c-0d7aadc41497,Andritz AG,2015,1,,,,,
8000829d-7b7d-431b-9669-fe27f5c666c6,Voestalpine AG,2015,3,,,Corporate Responsibility Report 2015/16,https://drive.google.com/file/d/1IcGOBSwD6GU2W1ewV6gcbwEdOa_PtbI9/view?usp=drive_link,
3e7fdd20-2983-4160-99c0-f22ac9c042dc,EVN AG,2015,1,,,,,
1737f3f5-c7f2-48ca-9711-963494b5bcc2,AT & S AG,2015,2,,market_based,,,
c81c8abc-2152-4286-93b6-80873d67e10f,Vienna Insurance Group AG,2015,2,,unclear,,,
1eb3f532-2262-47bd-8554-a6b4687d87ae,Österreichische Post AG,2015,2,,location_based,,,
1e7f6763-f874-4f98-b4ef-9efeac2b133f,Mayr-Melnhof Karton AG,2015,2,,market_based,,,
e05726a7-916c-4184-bc63-4dd0cbbcc082,Voestalpine AG,2015,2,,market_based,Corporate Responsibility Report 2015/16,https://drive.google.com/file/d/1IcGOBSwD6GU2W1ewV6gcbwEdOa_PtbI9/view?usp=drive_link,
