"company";"value";"year";"scope";"category";"source";"notes";"scope3_notes"
"Andritz AG";;"2015";"1";;;;
"Andritz AG";;"2015";"2";"location_based";;;
"Andritz AG";;"2015";"2";"market_based";;;
"Andritz AG";;"2015";"2";"unclear";;;
"Andritz AG";;"2015";"3";;;;
"Andritz AG";;"2016";"1";;;;
"Andritz AG";;"2016";"2";"location_based";;;
"Andritz AG";;"2016";"2";"market_based";;;
"Andritz AG";;"2016";"2";"unclear";;;
"Andritz AG";;"2016";"3";;;;
"Andritz AG";"23655";"2017";"1";;"https://drive.google.com/file/d/1OXcRpQoK7-LTxMxfFyQpXqq4I_oVFxtT/view?usp=drive_link";;
"Andritz AG";;"2017";"2";"location_based";"https://drive.google.com/file/d/1OXcRpQoK7-LTxMxfFyQpXqq4I_oVFxtT/view?usp=drive_link";;
"Andritz AG";;"2017";"2";"market_based";"https://drive.google.com/file/d/1OXcRpQoK7-LTxMxfFyQpXqq4I_oVFxtT/view?usp=drive_link";;
"Andritz AG";;"2017";"2";"unclear";"https://drive.google.com/file/d/1OXcRpQoK7-LTxMxfFyQpXqq4I_oVFxtT/view?usp=drive_link";;
"Andritz AG";;"2017";"3";;"https://drive.google.com/file/d/1OXcRpQoK7-LTxMxfFyQpXqq4I_oVFxtT/view?usp=drive_link";;
"Andritz AG";"24985";"2018";"1";;"https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link";;
"Andritz AG";"68365";"2018";"2";"location_based";"https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link";;
"Andritz AG";;"2018";"2";"market_based";"https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link";;
"Andritz AG";"68365";"2018";"2";"unclear";"https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link";;
"Andritz AG";;"2018";"3";;"https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link";;
"Andritz AG";"23160";"2019";"1";;"https://drive.google.com/file/d/1J9113qIf2GFPViBFXSGTUw4_PbAN_ZCM/view?usp=drive_link";;
"Andritz AG";"75798";"2019";"2";"location_based";"https://drive.google.com/file/d/1J9113qIf2GFPViBFXSGTUw4_PbAN_ZCM/view?usp=drive_link";;
"Andritz AG";;"2019";"2";"market_based";"https://drive.google.com/file/d/1J9113qIf2GFPViBFXSGTUw4_PbAN_ZCM/view?usp=drive_link";;
"Andritz AG";;"2019";"2";"unclear";"https://drive.google.com/file/d/1J9113qIf2GFPViBFXSGTUw4_PbAN_ZCM/view?usp=drive_link";;
"Andritz AG";;"2019";"3";;"https://drive.google.com/file/d/1J9113qIf2GFPViBFXSGTUw4_PbAN_ZCM/view?usp=drive_link";;
"Andritz AG";"25939";"2020";"1";;"https://drive.google.com/file/d/1sDQsQncZASYZReERLVIAknKQaCqNF1gA/view?usp=drive_link";;
"Andritz AG";"97669";"2020";"2";"location_based";"https://drive.google.com/file/d/1sDQsQncZASYZReERLVIAknKQaCqNF1gA/view?usp=drive_link";;
"Andritz AG";;"2020";"2";"market_based";"https://drive.google.com/file/d/1sDQsQncZASYZReERLVIAknKQaCqNF1gA/view?usp=drive_link";;
"Andritz AG";;"2020";"2";"unclear";"https://drive.google.com/file/d/1sDQsQncZASYZReERLVIAknKQaCqNF1gA/view?usp=drive_link";;
"Andritz AG";;"2020";"3";;"https://drive.google.com/file/d/1sDQsQncZASYZReERLVIAknKQaCqNF1gA/view?usp=drive_link";;
"Andritz AG";"28205";"2021";"1";;"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";;
"Andritz AG";"104513";"2021";"2";"location_based";"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";;
"Andritz AG";;"2021";"2";"market_based";"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";;
"Andritz AG";;"2021";"2";"unclear";"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";;
"Andritz AG";;"2021";"3";;"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";;
"Andritz AG";"60906";"2022";"1";;"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";" Da die Verbrauchskennzahlen im Jahr 2022 auf Näherungswerten basieren, da bei Redaktionsschluss nicht alle Zahlen für das 4. Quartal 2022 verfügbar waren,
basieren auch die Emissionswerte auf Näherungswerten. Aus diesem Grund kann es auch zu nachträglichen Anpassungen von Werten der Vorperioden kommen.";
"Andritz AG";"82341";"2022";"2";"location_based";"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";" Da die Verbrauchskennzahlen im Jahr 2022 auf Näherungswerten basieren, da bei Redaktionsschluss nicht alle Zahlen für das 4. Quartal 2022 verfügbar waren,
basieren auch die Emissionswerte auf Näherungswerten. Aus diesem Grund kann es auch zu nachträglichen Anpassungen von Werten der Vorperioden kommen.";
"Andritz AG";;"2022";"2";"market_based";"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";" Da die Verbrauchskennzahlen im Jahr 2022 auf Näherungswerten basieren, da bei Redaktionsschluss nicht alle Zahlen für das 4. Quartal 2022 verfügbar waren,
basieren auch die Emissionswerte auf Näherungswerten. Aus diesem Grund kann es auch zu nachträglichen Anpassungen von Werten der Vorperioden kommen.";
"Andritz AG";;"2022";"2";"unclear";"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";" Da die Verbrauchskennzahlen im Jahr 2022 auf Näherungswerten basieren, da bei Redaktionsschluss nicht alle Zahlen für das 4. Quartal 2022 verfügbar waren,
basieren auch die Emissionswerte auf Näherungswerten. Aus diesem Grund kann es auch zu nachträglichen Anpassungen von Werten der Vorperioden kommen.";
"Andritz AG";;"2022";"3";;"https://drive.google.com/file/d/1vTipZMPBuKjMK_0kar4sRRwoC_22lYex/view?usp=drive_link";" Da die Verbrauchskennzahlen im Jahr 2022 auf Näherungswerten basieren, da bei Redaktionsschluss nicht alle Zahlen für das 4. Quartal 2022 verfügbar waren,
basieren auch die Emissionswerte auf Näherungswerten. Aus diesem Grund kann es auch zu nachträglichen Anpassungen von Werten der Vorperioden kommen.";
"Andritz AG";"53194";"2023";"1";;"https://drive.google.com/file/d/14coE4dZm23X30IgU6NdjJ0FuuTHkESTZ/view?usp=drive_link";;
"Andritz AG";;"2023";"2";"location_based";"https://drive.google.com/file/d/14coE4dZm23X30IgU6NdjJ0FuuTHkESTZ/view?usp=drive_link";;
"Andritz AG";;"2023";"2";"market_based";"https://drive.google.com/file/d/14coE4dZm23X30IgU6NdjJ0FuuTHkESTZ/view?usp=drive_link";;
"Andritz AG";"81035";"2023";"2";"unclear";"https://drive.google.com/file/d/14coE4dZm23X30IgU6NdjJ0FuuTHkESTZ/view?usp=drive_link";;
"Andritz AG";;"2023";"3";;"https://drive.google.com/file/d/14coE4dZm23X30IgU6NdjJ0FuuTHkESTZ/view?usp=drive_link";;
"AT & S AG";;"2015";"1";;;;
"AT & S AG";;"2015";"2";"location_based";;;
"AT & S AG";;"2015";"2";"market_based";;;
"AT & S AG";;"2015";"2";"unclear";;;
"AT & S AG";;"2015";"3";;;;
"AT & S AG";;"2016";"1";;;;
"AT & S AG";;"2016";"2";"location_based";;;
"AT & S AG";;"2016";"2";"market_based";;;
"AT & S AG";;"2016";"2";"unclear";;;
"AT & S AG";;"2016";"3";;;;
"AT & S AG";;"2017";"1";;;"https://drive.google.com/file/d/1SmK-5ttFhMu5SHZifN0mZ6WI_Nfs27Yg/view?usp=drive_link";
"AT & S AG";;"2017";"2";"location_based";;"https://drive.google.com/file/d/1SmK-5ttFhMu5SHZifN0mZ6WI_Nfs27Yg/view?usp=drive_link";
"AT & S AG";;"2017";"2";"market_based";;"https://drive.google.com/file/d/1SmK-5ttFhMu5SHZifN0mZ6WI_Nfs27Yg/view?usp=drive_link";
"AT & S AG";;"2017";"2";"unclear";;"https://drive.google.com/file/d/1SmK-5ttFhMu5SHZifN0mZ6WI_Nfs27Yg/view?usp=drive_link";
"AT & S AG";;"2017";"3";;;"https://drive.google.com/file/d/1SmK-5ttFhMu5SHZifN0mZ6WI_Nfs27Yg/view?usp=drive_link";
"AT & S AG";;"2018";"1";;"https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link";"Nachhaltigkeitsbereicht für Geschäftsjahr 2018/2019 fehlt, daher rückwirkende Daten aus NHK 2019/2020; 
Geschäftsjahr 2018/2019";
"AT & S AG";;"2018";"2";"location_based";"https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link";"Nachhaltigkeitsbereicht für Geschäftsjahr 2018/2019 fehlt, daher rückwirkende Daten aus NHK 2019/2020; 
Geschäftsjahr 2018/2019";
"AT & S AG";;"2018";"2";"market_based";"https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link";"Nachhaltigkeitsbereicht für Geschäftsjahr 2018/2019 fehlt, daher rückwirkende Daten aus NHK 2019/2020; 
Geschäftsjahr 2018/2019";
"AT & S AG";;"2018";"2";"unclear";"https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link";"Nachhaltigkeitsbereicht für Geschäftsjahr 2018/2019 fehlt, daher rückwirkende Daten aus NHK 2019/2020; 
Geschäftsjahr 2018/2019";
"AT & S AG";"11100";"2018";"3";;"https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link";"Nachhaltigkeitsbereicht für Geschäftsjahr 2018/2019 fehlt, daher rückwirkende Daten aus NHK 2019/2020; 
Geschäftsjahr 2018/2019";
"AT & S AG";"25907";"2019";"1";;"https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link";"(Scope 1+2) standortbasiert angegeben;
Scope 1 Emissionen berechnet durch Addition von (Scope 1+2) + Scope 3 und Multiplikation mit den ausgewiesenen relativen Scope 1 Emissionen (=3.2%); Scope 2 standortbasiert berechnet aus Differenz (Scope 1+2) - Scope 1;
Geschäftsjahr 2019/2020";
"AT & S AG";"407393";"2019";"2";"location_based";"https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link";"(Scope 1+2) standortbasiert angegeben;
Scope 1 Emissionen berechnet durch Addition von (Scope 1+2) + Scope 3 und Multiplikation mit den ausgewiesenen relativen Scope 1 Emissionen (=3.2%); Scope 2 standortbasiert berechnet aus Differenz (Scope 1+2) - Scope 1;
Geschäftsjahr 2019/2020";
"AT & S AG";;"2019";"2";"market_based";"https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link";"(Scope 1+2) standortbasiert angegeben;
Scope 1 Emissionen berechnet durch Addition von (Scope 1+2) + Scope 3 und Multiplikation mit den ausgewiesenen relativen Scope 1 Emissionen (=3.2%); Scope 2 standortbasiert berechnet aus Differenz (Scope 1+2) - Scope 1;
Geschäftsjahr 2019/2020";
