region,period,source,scenario,category,unit,value,update,note
de-stadtstaaten,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,24.777,01.03.2025,
de-schleswig-holstein,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,23.546,01.03.2025,
de-niedersachsen,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,74.988,01.03.2025,
de-nordrhein-westfalen,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,220.962,01.03.2025,
de-hessen,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,36.384,01.03.2025,
de-rheinland-pfalz,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,31.152,01.03.2025,
de-baden-wuerttemberg,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,72.066,01.03.2025,
de-bayern,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,90.866,01.03.2025,
de-saarland,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,14.396,01.03.2025,
de-brandenburg,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,51.491,01.03.2025,
de-sachsen,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,49.251,01.03.2025,
de-sachsen-anhalt,2021,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,30.813,01.03.2025,
