fid_1,GF,ARS,AGS,GEN,BEZ,BEM,NUTS,DEBKG_ID,netPotentialShare,buildingWithPVShare,MStRInstalledNetPower,SolarPotentialInMWhPerYear,NumberOfBuildingsWithPV,NumberOfBuildings
11003,4,160775052043,16077043,Schmölln,Stadt,gemeinschaftsangehörig,DEG0M,DEBKGDL200015MXP,7.92,5.72,9397.13,118585.31,414,7238
11002,4,160775052003,16077003,Dobitschen,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL200015MYG,5.74,4.14,285.58,4976.14,22,531
11001,4,160775051036,16077036,Nobitz,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL2000154RF,12.21,6.31,9213.56,75442.15,388,6150
11000,4,160775051023,16077023,Langenleuba-Niederhain,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL2000154RG,7.89,7.68,935.68,11855.13,105,1368
10999,4,160775051011,16077011,Göpfersdorf,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL2000154RM,10.62,9.71,256.88,2419.11,27,278
10998,4,160775050039,16077039,Ponitz,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DXRO,7.85,4.35,1231.3,15683.49,69,1586
10997,4,160775050017,16077017,Heyersdorf,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DXWH,15.45,5.78,232.12,1502.27,13,225
10996,4,160775050012,16077012,Gößnitz,Stadt,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DZ0V,6.67,6.15,1351.22,20243.19,90,1463
10995,4,160775009049,16077049,Vollmershain,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DY3A,17.29,17.9,472.34,2731.97,41,229
10994,4,160775009047,16077047,Thonhausen,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DXKO,7.79,5.62,506.38,6503.27,45,801
10993,4,160775009041,16077041,Posterstein,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DXR2,7.84,9.72,230.97,2945.9,28,288
10992,4,160775009026,16077026,Löbichau,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DYC1,11.31,4.86,2248.22,19872.65,39,802
10991,4,160775009018,16077018,Jonaswalde,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DXKP,13.23,8.22,437.86,3310.43,41,499
10990,4,160775009016,16077016,Heukewalde,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DXFX,15.45,7.29,650.3,4209.57,18,247
10989,4,160775005044,16077044,Starkenberg,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL200015MY4,17.96,3.8,3484.52,19400.89,101,2658
10988,4,160775005042,16077042,Rositz,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DZB3,9.41,8.89,1602.22,17027.99,92,1035
10987,4,160775005034,16077034,Monstab,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DZB1,7.36,6.6,233.1,3169.21,20,303
10986,4,160775005031,16077031,Mehna,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL200015MXS,3.12,3.05,83.72,2680.79,9,295
10985,4,160775005027,16077027,Lödla,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DWHH,9.14,8.08,670.91,7343.43,53,656
10984,4,160775005022,16077022,Kriebitzsch,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DZB2,36.12,8.16,2523.26,6986.04,61,748
10983,4,160775005009,16077009,Göllnitz,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL200015MYT,19.98,10.09,1340.65,6711.36,33,327
10982,4,160775005008,16077008,Göhren,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL200015MY2,36.46,10.17,2214.5,6074.35,48,472
10981,4,160775004052,16077052,Windischleuba,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DYO0,10.92,5.33,2245.95,20572.34,99,1857
10980,4,160775004048,16077048,Treben,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DZDE,8.06,7.76,602.36,7474.73,62,799
10979,4,160775004015,16077015,Haselbach,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DX81,3.42,1.72,97.54,2848.03,13,755
10978,4,160775004007,16077007,Gerstenberg,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DXML,22.91,4.43,789.99,3447.9,19,429
10977,4,160775004005,16077005,Fockendorf,Gemeinde,gemeinschaftsangehörig,DEG0M,DEBKGDL20000DYUT,5.91,5.19,295.43,4994.86,36,694
10976,4,160770032032,16077032,Meuselwitz,Stadt,--,DEG0M,DEBKGDL20000DX49,5.37,2.89,3404.01,63413.27,263,9108
10975,4,160770028028,16077028,Lucka,Stadt,--,DEG0M,DEBKGDL20000DXEL,3.48,3.39,1018.57,29240.88,67,1975
10974,4,160770001001,16077001,Altenburg,Stadt,--,DEG0M,DEBKGDL20000DXJP,6.6,4.35,10157.96,153870.52,423,9728
10973,4,160765056039,16076039,Langenwetzendorf,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DX6J,8.2,3.82,4847.7,59085.8,180,4709
10972,4,160765056038,16076038,Kühdorf,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXYH,14.2,3.23,182.12,1282.62,3,93
10971,4,160765056029,16076029,Hohenleuben,Stadt,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXVE,3.42,4.39,354.69,10382.93,45,1024
10970,4,160765054087,16076087,Zeulenroda-Triebes,Stadt,gemeinschaftsangehörig,DEG0L,DEBKGDL20000E6VW,7.94,3.57,12441.87,156645.56,550,15418
10969,4,160765054081,16076081,Weißendorf,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DX57,29.65,17.71,1629.04,5493.96,51,288
10968,4,160765054041,16076041,Langenwolschendorf,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DWVL,22.39,4.73,2014.27,8995.58,22,465
10967,4,160765053079,16076079,Weida,Stadt,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DWRR,8.53,7.26,4646.3,54484.65,212,2919
10966,4,160765053014,16076014,Crimla,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXO3,2.5,5.1,46.6,1865.22,8,157
10965,4,160765051026,16076026,Hartmannsdorf,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXZM,6.52,5.24,145.89,2236.39,21,401
10964,4,160765051012,16076012,Caaschwitz,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXFE,18.2,7.23,1115.72,6130,30,415
10963,4,160765051003,16076003,Bad Köstritz,Stadt,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DX5C,2.96,3.83,895.67,30265.35,104,2712
10962,4,160765008067,16076067,Schwaara,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DWTV,6.78,6.32,69.14,1020.2,6,95
10961,4,160765008059,16076059,Reichstädt,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DX5U,7.87,5.29,224.94,2859.56,19,359
10960,4,160765008058,16076058,Pölzig,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXG0,7.93,5.21,978.96,12340.19,51,979
10959,4,160765008036,16076036,Korbußen,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXJY,2.9,8.43,538.01,18564.2,35,415
10958,4,160765008028,16076028,Hirschfeld,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DYC8,1.39,5.56,25.43,1831.33,5,90
10957,4,160765008023,16076023,Großenstein,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXSZ,7.78,4.04,1056.12,13578.96,37,916
10956,4,160765008008,16076008,Brahmenau,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DW06,7.56,8.25,463.92,6140.53,55,667
10955,4,160765008006,16076006,Bethenhausen,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DWP0,5.7,5.26,135.18,2372.23,10,190
10954,4,160765006086,16076086,Zedlitz,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DX5E,3.8,9.69,176.12,4634.79,25,258
10953,4,160765006068,16076068,Schwarzbach,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXNK,3.91,3.95,74.49,1904.8,7,177
10952,4,160765006064,16076064,Saara,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DX3Q,4.8,4.08,299.37,6241.3,29,711
10951,4,160765006049,16076049,Münchenbernsdorf,Stadt,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DWLO,4.71,5.24,1059.85,22519.28,82,1565
10950,4,160765006044,16076044,Lindenkreuz,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DWEI,4.6,5.37,233.7,5085.12,18,335
10949,4,160765006042,16076042,Lederhose,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DWLV,16.46,5.91,1019.89,6197.06,12,203
10948,4,160765006033,16076033,Hundhaupten,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DX84,4.28,4.36,184.04,4302.44,18,413
10947,4,160765006007,16076007,Bocka,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DYAS,5.11,5.78,199.81,3909.01,32,554
10946,4,160765004084,16076084,Wünschendorf/Elster,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DX5D,8.34,8.91,2342.67,28095.02,128,1437
10945,4,160765004074,16076074,Teichwitz,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXG6,44.7,8,713.04,1595.15,4,50
10944,4,160765004069,16076069,Seelingstädt,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000E5QN,3.93,4.62,747.48,19018.08,68,1471
10943,4,160765004062,16076062,Rückersdorf,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DWTX,16.92,12.45,1362.17,8050.8,65,522
10942,4,160765004055,16076055,Paitzdorf,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXT0,9.09,10.75,423.36,4659.57,33,307
10941,4,160765004043,16076043,Linda b. Weida,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXJS,3.42,10.9,270.2,7890.85,34,312
10940,4,160765004034,16076034,Kauern,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DVX5,2.99,9.84,157.76,5270.1,24,244
10939,4,160765004027,16076027,Hilbersdorf,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DWTW,4.78,8.23,135.13,2828.14,13,158
10938,4,160765004019,16076019,Gauern,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DVY1,3.01,5.98,46.06,1531.75,7,117
10937,4,160765004017,16076017,Endschütz,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DY3V,8.1,8.47,255.66,3157.2,20,236
10936,4,160765004009,16076009,Braunichswalde,Gemeinde,gemeinschaftsangehörig,DEG0L,DEBKGDL20000DXO4,11.04,11.84,858.52,7776.28,72,608
10935,4,160760093093,16076093,Mohlsdorf-Teichwolframsdorf,Gemeinde,--,DEG0L,DEBKGDL20000SCIM,8.54,4.09,3680.64,43076.69,169,4135
10934,4,160760092092,16076092,Auma-Weidatal,Stadt,--,DEG0L,DEBKGDL20000QAHR,9.8,4.97,4194.7,42818.47,150,3019
10933,4,160760089089,16076089,Kraftsdorf,Gemeinde,--,DEG0L,DEBKGDL20000DW08,13.98,5.01,3885.16,27784.93,186,3716
10932,4,160760088088,16076088,Harth-Pöllnitz,Gemeinde,--,DEG0L,DEBKGDL20000DXJ2,6.25,8.37,2568.89,41095.11,171,2043
10931,4,160760061061,16076061,Ronneburg,Stadt,--,DEG0L,DEBKGDL20000DW0N,8.53,4.7,4052.45,47496.6,98,2083
10930,4,160760022022,16076022,Greiz,Stadt,--,DEG0L,DEBKGDL200015U5Y,6.58,3.68,8506.81,129230.96,506,13752
10929,4,160760004004,16076004,Berga/Elster,Stadt,--,DEG0L,DEBKGDL20000DX3Y,17.36,5.31,6111.41,35202.81,120,2259
10928,4,160755050073,16075073,Neustadt an der Orla,Stadt,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DXG3,9.06,5.31,8232.85,90869.57,318,5986
10927,4,160755050051,16075051,Kospoda,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DWRO,3.27,3.54,120.2,3679.18,15,424
