ARS,AGS,GEN,BEZ,netPotentialShare,buildingWithPVShare,MStRInstalledNetPower,SolarPotentialInMWhPerYear,NumberOfBuildingsWithPV,NumberOfBuildings
160775052043,16077043,Schmölln,Stadt,7.92,5.72,9397.13,118585.31,414,7238
160775052003,16077003,Dobitschen,Gemeinde,5.74,4.14,285.58,4976.14,22,531
160775051036,16077036,Nobitz,Gemeinde,12.21,6.31,9213.56,75442.15,388,6150
160775051023,16077023,Langenleuba-Niederhain,Gemeinde,7.89,7.68,935.68,11855.13,105,1368
160775051011,16077011,Göpfersdorf,Gemeinde,10.62,9.71,256.88,2419.11,27,278
160775050039,16077039,Ponitz,Gemeinde,7.85,4.35,1231.3,15683.49,69,1586
160775050017,16077017,Heyersdorf,Gemeinde,15.45,5.78,232.12,1502.27,13,225
160775050012,16077012,Gößnitz,Stadt,6.67,6.15,1351.22,20243.19,90,1463
160775009049,16077049,Vollmershain,Gemeinde,17.29,17.9,472.34,2731.97,41,229
160775009047,16077047,Thonhausen,Gemeinde,7.79,5.62,506.38,6503.27,45,801
160775009041,16077041,Posterstein,Gemeinde,7.84,9.72,230.97,2945.9,28,288
160775009026,16077026,Löbichau,Gemeinde,11.31,4.86,2248.22,19872.65,39,802
160775009018,16077018,Jonaswalde,Gemeinde,13.23,8.22,437.86,3310.43,41,499
160775009016,16077016,Heukewalde,Gemeinde,15.45,7.29,650.3,4209.57,18,247
160775005044,16077044,Starkenberg,Gemeinde,17.96,3.8,3484.52,19400.89,101,2658
160775005042,16077042,Rositz,Gemeinde,9.41,8.89,1602.22,17027.99,92,1035
160775005034,16077034,Monstab,Gemeinde,7.36,6.6,233.1,3169.21,20,303
160775005031,16077031,Mehna,Gemeinde,3.12,3.05,83.72,2680.79,9,295
160775005027,16077027,Lödla,Gemeinde,9.14,8.08,670.91,7343.43,53,656
160775005022,16077022,Kriebitzsch,Gemeinde,36.12,8.16,2523.26,6986.04,61,748
160775005009,16077009,Göllnitz,Gemeinde,19.98,10.09,1340.65,6711.36,33,327
160775005008,16077008,Göhren,Gemeinde,36.46,10.17,2214.5,6074.35,48,472
160775004052,16077052,Windischleuba,Gemeinde,10.92,5.33,2245.95,20572.34,99,1857
160775004048,16077048,Treben,Gemeinde,8.06,7.76,602.36,7474.73,62,799
160775004015,16077015,Haselbach,Gemeinde,3.42,1.72,97.54,2848.03,13,755
160775004007,16077007,Gerstenberg,Gemeinde,22.91,4.43,789.99,3447.9,19,429
160775004005,16077005,Fockendorf,Gemeinde,5.91,5.19,295.43,4994.86,36,694
160770032032,16077032,Meuselwitz,Stadt,5.37,2.89,3404.01,63413.27,263,9108
160770028028,16077028,Lucka,Stadt,3.48,3.39,1018.57,29240.88,67,1975
160770001001,16077001,Altenburg,Stadt,6.6,4.35,10157.96,153870.52,423,9728
160765056039,16076039,Langenwetzendorf,Gemeinde,8.2,3.82,4847.7,59085.8,180,4709
160765056038,16076038,Kühdorf,Gemeinde,14.2,3.23,182.12,1282.62,3,93
160765056029,16076029,Hohenleuben,Stadt,3.42,4.39,354.69,10382.93,45,1024
160765054087,16076087,Zeulenroda-Triebes,Stadt,7.94,3.57,12441.87,156645.56,550,15418
160765054081,16076081,Weißendorf,Gemeinde,29.65,17.71,1629.04,5493.96,51,288
160765054041,16076041,Langenwolschendorf,Gemeinde,22.39,4.73,2014.27,8995.58,22,465
160765053079,16076079,Weida,Stadt,8.53,7.26,4646.3,54484.65,212,2919
160765053014,16076014,Crimla,Gemeinde,2.5,5.1,46.6,1865.22,8,157
160765051026,16076026,Hartmannsdorf,Gemeinde,6.52,5.24,145.89,2236.39,21,401
160765051012,16076012,Caaschwitz,Gemeinde,18.2,7.23,1115.72,6130,30,415
160765051003,16076003,Bad Köstritz,Stadt,2.96,3.83,895.67,30265.35,104,2712
160765008067,16076067,Schwaara,Gemeinde,6.78,6.32,69.14,1020.2,6,95
160765008059,16076059,Reichstädt,Gemeinde,7.87,5.29,224.94,2859.56,19,359
160765008058,16076058,Pölzig,Gemeinde,7.93,5.21,978.96,12340.19,51,979
160765008036,16076036,Korbußen,Gemeinde,2.9,8.43,538.01,18564.2,35,415
160765008028,16076028,Hirschfeld,Gemeinde,1.39,5.56,25.43,1831.33,5,90
160765008023,16076023,Großenstein,Gemeinde,7.78,4.04,1056.12,13578.96,37,916
160765008008,16076008,Brahmenau,Gemeinde,7.56,8.25,463.92,6140.53,55,667
160765008006,16076006,Bethenhausen,Gemeinde,5.7,5.26,135.18,2372.23,10,190
160765006086,16076086,Zedlitz,Gemeinde,3.8,9.69,176.12,4634.79,25,258
160765006068,16076068,Schwarzbach,Gemeinde,3.91,3.95,74.49,1904.8,7,177
160765006064,16076064,Saara,Gemeinde,4.8,4.08,299.37,6241.3,29,711
160765006049,16076049,Münchenbernsdorf,Stadt,4.71,5.24,1059.85,22519.28,82,1565
160765006044,16076044,Lindenkreuz,Gemeinde,4.6,5.37,233.7,5085.12,18,335
160765006042,16076042,Lederhose,Gemeinde,16.46,5.91,1019.89,6197.06,12,203
160765006033,16076033,Hundhaupten,Gemeinde,4.28,4.36,184.04,4302.44,18,413
160765006007,16076007,Bocka,Gemeinde,5.11,5.78,199.81,3909.01,32,554
160765004084,16076084,Wünschendorf/Elster,Gemeinde,8.34,8.91,2342.67,28095.02,128,1437
160765004074,16076074,Teichwitz,Gemeinde,44.7,8,713.04,1595.15,4,50
160765004069,16076069,Seelingstädt,Gemeinde,3.93,4.62,747.48,19018.08,68,1471
160765004062,16076062,Rückersdorf,Gemeinde,16.92,12.45,1362.17,8050.8,65,522
160765004055,16076055,Paitzdorf,Gemeinde,9.09,10.75,423.36,4659.57,33,307
160765004043,16076043,Linda b. Weida,Gemeinde,3.42,10.9,270.2,7890.85,34,312
160765004034,16076034,Kauern,Gemeinde,2.99,9.84,157.76,5270.1,24,244
160765004027,16076027,Hilbersdorf,Gemeinde,4.78,8.23,135.13,2828.14,13,158
160765004019,16076019,Gauern,Gemeinde,3.01,5.98,46.06,1531.75,7,117
160765004017,16076017,Endschütz,Gemeinde,8.1,8.47,255.66,3157.2,20,236
160765004009,16076009,Braunichswalde,Gemeinde,11.04,11.84,858.52,7776.28,72,608
160760093093,16076093,Mohlsdorf-Teichwolframsdorf,Gemeinde,8.54,4.09,3680.64,43076.69,169,4135
160760092092,16076092,Auma-Weidatal,Stadt,9.8,4.97,4194.7,42818.47,150,3019
160760089089,16076089,Kraftsdorf,Gemeinde,13.98,5.01,3885.16,27784.93,186,3716
160760088088,16076088,Harth-Pöllnitz,Gemeinde,6.25,8.37,2568.89,41095.11,171,2043
160760061061,16076061,Ronneburg,Stadt,8.53,4.7,4052.45,47496.6,98,2083
160760022022,16076022,Greiz,Stadt,6.58,3.68,8506.81,129230.96,506,13752
160760004004,16076004,Berga/Elster,Stadt,17.36,5.31,6111.41,35202.81,120,2259
160755050073,16075073,Neustadt an der Orla,Stadt,9.06,5.31,8232.85,90869.57,318,5986
160755050051,16075051,Kospoda,Gemeinde,3.27,3.54,120.2,3679.18,15,424
160755013129,16075129,Krölpa,Gemeinde,11.47,3.86,3037.77,26486.3,87,2251
160755013127,16075127,Ziegenrück,Stadt,1.01,1.49,47.65,4733.05,10,673
160755013125,16075125,Wilhelmsdorf,Gemeinde,15.95,1.82,578.5,3626.33,5,274
160755013103,16075103,Seisla,Gemeinde,1.06,3.2,22.4,2106.18,4,125
160755013102,16075102,Schöndorf,Gemeinde,1.14,1.04,64.61,5643.93,5,482
160755013101,16075101,Schmorda,Gemeinde,9.07,6.54,115.48,1273.22,7,107
160755013088,16075088,Ranis,Stadt,2.79,4.02,313.38,11213.25,42,1045
160755013081,16075081,Peuschen,Gemeinde,1.06,2.57,58.18,5497.33,10,389
160755013079,16075079,Paska,Gemeinde,2.01,1.27,32.6,1618.3,2,157
160755013069,16075069,Moxa,Gemeinde,0.45,1.23,7.44,1667.56,1,81
160755013047,16075047,Keila,Gemeinde,,,,1103.59,,78
160755013035,16075035,Gössitz,Gemeinde,1.91,1.81,98.7,5163.37,13,717
160755013023,16075023,Eßbach,Gemeinde,39.37,2.73,1431.07,3635.25,10,366
160755011116,16075116,Triptis,Stadt,11.81,5.76,7192.38,60898.16,147,2554
160755011114,16075114,Tömmelsdorf,Gemeinde,14.24,5.38,269.4,1891.43,7,130
160755011099,16075099,Schmieritz,Gemeinde,14.49,4.67,688.65,4753.32,23,492
160755011093,16075093,Rosendorf,Gemeinde,2.61,3.92,44.77,1717.05,8,204
160755011066,16075066,Mittelpöllnitz,Gemeinde,33.54,5.88,1413.6,4214.26,12,204
160755011065,16075065,Miesitz,Gemeinde,6.16,4.82,212.03,3439.75,12,249
160755011057,16075057,Lemnitz,Gemeinde,9.09,2.76,420.19,4624.42,11,399
160755011029,16075029,Geroda,Gemeinde,25.16,10.46,535.35,2128.07,16,153
160755011019,16075019,Dreitzsch,Gemeinde,19.7,8.97,923.88,4690.4,26,290
160755005124,16075124,Wernburg,Gemeinde,15.82,3.99,1014.07,6411.69,31,777
160755005121,16075121,Weira,Gemeinde,14.9,7.85,3628.26,24349.57,41,522
160755005105,16075105,Solkwitz,Gemeinde,,,,852.44,,44
160755005087,16075087,Quaschwitz,Gemeinde,1.96,2.97,20.1,1024.85,3,101
160755005077,16075077,Oppurg,Gemeinde,25.52,6.62,3139.65,12301.65,44,665
160755005075,16075075,Oberoppurg,Gemeinde,2.41,5.43,38.95,1616.02,7,129
160755005074,16075074,Nimritz,Gemeinde,5.14,6.92,145.96,2841.2,18,260
160755005056,16075056,Lausnitz b. Neustadt an der Orla,Gemeinde,2.45,2.86,61.14,2496.52,9,315
160755005054,16075054,Langenorla,Gemeinde,10.97,4.53,1023.75,9328.25,52,1147
160755005039,16075039,Grobengereuth,Gemeinde,0.92,1.72,29.1,3147.72,5,290
160755005031,16075031,Gertewitz,Gemeinde,3.89,4.93,67.03,1722.21,7,142
160755005016,16075016,Döbritz,Gemeinde,5.32,5.41,68.57,1288.85,8,148
160755005006,16075006,Bodelwitz,Gemeinde,5.51,6.68,244.57,4440.88,28,419
160755004119,16075119,Volkmannsdorf,Gemeinde,4.06,4.62,220.98,5439.24,15,325
160755004109,16075109,Tegau,Gemeinde,5.28,10.82,349.9,6632.62,29,268
160755004084,16075084,Pörmitz,Gemeinde,3.05,6.3,63.86,2096.79,8,127
160755004083,16075083,Plothen,Gemeinde,3.16,5.74,147.25,4661.93,21,366
160755004076,16075076,Oettersdorf,Gemeinde,7.68,7.98,1045.45,13608.69,45,564
160755004072,16075072,Neundorf (bei Schleiz),Gemeinde,36.23,8.33,1471.89,4062.99,20,240
160755004068,16075068,Moßbach,Gemeinde,4.84,8.31,368.96,7625.01,33,397
160755004063,16075063,Löhma,Gemeinde,22.99,5.53,697.3,3032.82,11,199
160755004048,16075048,Kirschkau,Gemeinde,47.2,5.21,1459.17,3091.7,11,211
160755004034,16075034,Göschitz,Gemeinde,0.92,2.16,24.5,2672.83,4,185
160755004033,16075033,Görkwitz,Gemeinde,6.95,8.4,226.3,3256.33,22,262
160755004014,16075014,Dittersdorf,Gemeinde,7.55,8.43,678.76,8984.97,37,439
160750136136,16075136,Rosenthal am Rennsteig,Gemeinde,2.01,1.87,723.16,36010.38,63,3377
160750135135,16075135,Saalburg-Ebersdorf,Stadt,7.42,4.09,4893.28,65977.67,144,3525
160750134134,16075134,Remptendorf,Gemeinde,13.46,5.16,7059.9,52436.54,184,3564
160750133133,16075133,Wurzbach,Stadt,7.49,2.95,2305,30756.29,68,2305
160750132132,16075132,Tanna,Stadt,6.47,5.3,4118.3,63611.41,157,2965
160750131131,16075131,Gefell,Stadt,5.01,5.2,1479.76,29513.57,97,1865
160750098098,16075098,Schleiz,Stadt,6.67,3.44,6470.97,97008.27,242,7036
160750085085,16075085,Pößneck,Stadt,4.53,3.36,3828.36,84512.83,224,6672
160750062062,16075062,Bad Lobenstein,Stadt,3.35,4.68,1717.2,51307.51,155,3312
160750046046,16075046,Hirschberg,Stadt,1.56,2.89,476.99,30509.38,55,1906
160745053109,16074109,Weißenborn,Gemeinde,3.97,4.46,278.87,7026.2,43,964
