"Region","Schadstoff","Einheit","CRF_Code","CRF_Sektor","Quelle","Datenstand","Jahr","Werte"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1990,"78423220.72982"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1991,"82095386.49411"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1992,"75464121.66420"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1993,"75806345.87896"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1994,"76039471.73503"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1995,"79283430.14317"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1996,"82482782.04654"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1997,"82134093.10053"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1998,"81452380.67111"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",1999,"79922244.50388"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2000,"80085027.73404"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2001,"83989239.69561"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2002,"85747073.66849"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2003,"91209619.93132"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2004,"90856235.61416"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2005,"92029496.61627"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2006,"89606979.79363"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2007,"86841361.95901"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2008,"86259020.41726"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2009,"79584522.42826"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2010,"84150225.05402"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2011,"82007459.52725"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2012,"79309940.82444"
"AT","THG","t CO2-eq","0","Total (without LULUCF)","OLI 2021 (1990-2020)","10.02.2022",2013,"79772018.77155"
