,Schadstoff,CRF_Code,Quelle,Datenstand,Jahr,Werte
0,THG,0,OLI,11.02.2023,1990,79047231.7551
1,THG,0,OLI,11.02.2023,1991,82711156.41359
2,THG,0,OLI,11.02.2023,1992,76142809.06639
3,THG,0,OLI,11.02.2023,1993,76517864.01771
4,THG,0,OLI,11.02.2023,1994,76725966.56086
5,THG,0,OLI,11.02.2023,1995,79953237.92257
6,THG,0,OLI,11.02.2023,1996,83112927.19765
7,THG,0,OLI,11.02.2023,1997,82719627.08803
8,THG,0,OLI,11.02.2023,1998,82012900.40035
9,THG,0,OLI,11.02.2023,1999,80455150.26012
10,THG,0,OLI,11.02.2023,2000,80619361.85834
11,THG,0,OLI,11.02.2023,2001,84514047.28892
12,THG,0,OLI,11.02.2023,2002,86267538.46791
13,THG,0,OLI,11.02.2023,2003,91636303.35818
14,THG,0,OLI,11.02.2023,2004,91427896.05187
15,THG,0,OLI,11.02.2023,2005,92588579.65423
16,THG,0,OLI,11.02.2023,2006,90158666.85301
17,THG,0,OLI,11.02.2023,2007,87377950.90822
18,THG,0,OLI,11.02.2023,2008,86770818.6738
19,THG,0,OLI,11.02.2023,2009,80137031.46329
20,THG,0,OLI,11.02.2023,2010,84693292.55807
21,THG,0,OLI,11.02.2023,2011,82505756.16884
22,THG,0,OLI,11.02.2023,2012,79788324.71975
23,THG,0,OLI,11.02.2023,2013,80228517.8317
24,THG,0,OLI,11.02.2023,2014,76662661.78527
25,THG,0,OLI,11.02.2023,2015,78884464.56253
26,THG,0,OLI,11.02.2023,2016,79821263.96789
27,THG,0,OLI,11.02.2023,2017,82132492.25618
28,THG,0,OLI,11.02.2023,2018,78854374.92459
29,THG,0,OLI,11.02.2023,2019,79994137.64006
30,THG,0,OLI,11.02.2023,2020,73910842.67877
31,THG,0,OLI,11.02.2023,2021,77528522.1242
32,THG,1,OLI,11.02.2023,1990,52664962.71092
33,THG,1,OLI,11.02.2023,1991,56274663.63928
34,THG,1,OLI,11.02.2023,1992,51740280.08852
35,THG,1,OLI,11.02.2023,1993,52087321.23854
36,THG,1,OLI,11.02.2023,1994,51614430.83598
37,THG,1,OLI,11.02.2023,1995,54161648.58858
38,THG,1,OLI,11.02.2023,1996,58179580.74782
39,THG,1,OLI,11.02.2023,1997,57034738.89365
40,THG,1,OLI,11.02.2023,1998,56888357.03293
41,THG,1,OLI,11.02.2023,1999,55811188.74737
42,THG,1,OLI,11.02.2023,2000,55291157.69099
43,THG,1,OLI,11.02.2023,2001,59456653.38779
44,THG,1,OLI,11.02.2023,2002,60622185.9357
45,THG,1,OLI,11.02.2023,2003,66130184.10504
46,THG,1,OLI,11.02.2023,2004,66229007.07414
47,THG,1,OLI,11.02.2023,2005,66714598.7234
48,THG,1,OLI,11.02.2023,2006,63921319.78094
49,THG,1,OLI,11.02.2023,2007,60487915.12917
50,THG,1,OLI,11.02.2023,2008,59530931.47327
51,THG,1,OLI,11.02.2023,2009,56391825.9705
52,THG,1,OLI,11.02.2023,2010,59281147.08179
53,THG,1,OLI,11.02.2023,2011,56970770.9079
54,THG,1,OLI,11.02.2023,2012,54829569.59696
55,THG,1,OLI,11.02.2023,2013,55005154.3164
56,THG,1,OLI,11.02.2023,2014,51280479.52903
57,THG,1,OLI,11.02.2023,2015,53063768.75471
58,THG,1,OLI,11.02.2023,2016,54288901.05861
59,THG,1,OLI,11.02.2023,2017,56000912.19772
60,THG,1,OLI,11.02.2023,2018,54555089.30069
61,THG,1,OLI,11.02.2023,2019,54937467.94542
62,THG,1,OLI,11.02.2023,2020,49930232.4483
63,THG,1,OLI,11.02.2023,2021,52141963.66891
64,THG,1 A,OLI,11.02.2023,1990,51890980.62824
65,THG,1 A,OLI,11.02.2023,1991,55650382.06214
66,THG,1 A,OLI,11.02.2023,1992,51069018.86831
67,THG,1 A,OLI,11.02.2023,1993,51450486.37102
68,THG,1 A,OLI,11.02.2023,1994,51102747.60204
69,THG,1 A,OLI,11.02.2023,1995,53656966.90054
70,THG,1 A,OLI,11.02.2023,1996,57749250.99014
71,THG,1 A,OLI,11.02.2023,1997,56560340.3543
72,THG,1 A,OLI,11.02.2023,1998,56385902.8439
73,THG,1 A,OLI,11.02.2023,1999,55275521.87012
74,THG,1 A,OLI,11.02.2023,2000,54754643.49172
75,THG,1 A,OLI,11.02.2023,2001,58902013.58969
76,THG,1 A,OLI,11.02.2023,2002,60083306.71525
77,THG,1 A,OLI,11.02.2023,2003,65574777.77454
78,THG,1 A,OLI,11.02.2023,2004,65726900.01152
79,THG,1 A,OLI,11.02.2023,2005,66243979.25161
80,THG,1 A,OLI,11.02.2023,2006,63421456.58515
81,THG,1 A,OLI,11.02.2023,2007,59981599.37729
82,THG,1 A,OLI,11.02.2023,2008,59065867.74001
83,THG,1 A,OLI,11.02.2023,2009,55878369.19269
84,THG,1 A,OLI,11.02.2023,2010,58778984.33137
85,THG,1 A,OLI,11.02.2023,2011,56475694.00468
86,THG,1 A,OLI,11.02.2023,2012,54319956.67135
87,THG,1 A,OLI,11.02.2023,2013,54499731.98885
88,THG,1 A,OLI,11.02.2023,2014,50809801.29545
89,THG,1 A,OLI,11.02.2023,2015,52607622.21026
90,THG,1 A,OLI,11.02.2023,2016,53865557.99146
91,THG,1 A,OLI,11.02.2023,2017,55538944.46157
92,THG,1 A,OLI,11.02.2023,2018,54155335.44042
93,THG,1 A,OLI,11.02.2023,2019,54563032.20029
94,THG,1 A,OLI,11.02.2023,2020,49574851.79868
95,THG,1 A,OLI,11.02.2023,2021,51810610.29644
96,THG,1 A 1,OLI,11.02.2023,1990,14007512.44695
97,THG,1 A 1,OLI,11.02.2023,1991,14796388.91955
98,THG,1 A 1,OLI,11.02.2023,1992,11552400.18466
99,THG,1 A 1,OLI,11.02.2023,1993,11626255.48139
100,THG,1 A 1,OLI,11.02.2023,1994,11914574.56573
101,THG,1 A 1,OLI,11.02.2023,1995,13058696.20205
