year,280_linear,280_percentage,280_nochange,340_linear,340_percentage,340_nochange,510_linear,510_percentage,510_nochange,610_linear,610_percentage,610_nochange
2021,80,80.00,80,80,80,80,80,80,80,80,80,80
2022,70,62.40,80,71.5,64.8,80,74.1,69.84,80,75,72.8,80
2023,60,48.67,80,63,52.488,80,68.2,60.97032,80,70,66.248,80
2024,50,37.96,80,54.5,42.51528,80,62.3,53.2270894,80,65,60.28568,80
2025,40,29.61,40,46,34.4373768,80,56.4,46.467249,80,60,54.8599688,80
2026,30,23.10,0,37.5,27.8942752,20,50.5,40.5659084,80,55,49.9225716,80
2027,20,18.02,,29,22.5943629,,44.6,35.414038,80,50,45.4295402,80
2028,10,14.05,,20.5,18.301434,,38.7,30.9164552,30,45,41.3408815,80
2029,0,10.96,,12,14.8241615,,32.8,26.9900654,,40,37.6202022,50
2030,,8.55,,3.5,12.0075708,,26.9,23.5623271,,35,34.234384,
2031,,6.67,,0,9.72613237,,21,20.5699115,,30,29.0992264,
2032,,5.20,,,7.87816722,,15.1,17.9575328,,25,24.7343424,
2033,,4.06,,,6.38131545,,9.2,15.6769261,,20,21.0241911,
2034,,3.16,,,5.16886551,,3.3,13.6859565,,15,17.8705624,
2035,,2.47,,,4.18678106,,0,11.94784,,10,15.1899781,
2036,,1.93,,,3.39129266,,,10.4304643,,5,12.9114813,
2037,,1.50,,,2.74694706,,,9.10579537,,0,10.9747591,
2038,,1.17,,,2.22502712,,,7.94935936,,,9.32854527,
2039,,0.91,,,1.80227196,,,6.93979072,,,7.92926348,
2040,,0.00,0,,,0,,,0,,,0
