year,state,3902_linear,3902_percentage,3902_nochange,15_50,ksg_path_co2eq_Mt_incl_LULUCF
2023,DE,588,588,588,125,718
2024,DE,544,515,588,,676
2025,DE,499,451,588,,634
2026,DE,455,396,588,,591
2027,DE,411,347,588,,550
2028,DE,367,304,588,,505
2029,DE,322,266,588,,460
2030,DE,278,233,374,,413
2031,DE,234,204,0,,384
2032,DE,189,179,,,346
2033,DE,145,157,,,320
2034,DE,101,137,,,294
2035,DE,56,120,,,256
2036,DE,12,105,,,230
2037,DE,-32,92,,,204
2038,DE,,81,,,178
2039,DE,,71,,,140
2040,DE,,62,,,114
2041,DE,,54,,,91
2042,DE,,48,,,68
2043,DE,,42,,,46
2044,DE,,37,,,23
2045,DE,,0,,,0
