year;state;co2_Mt_incl_LULUCF
1750;DE;2.28706E-17
1751;DE;0.001672481
1752;DE;0.003344962
1753;DE;0.005017443
1754;DE;0.006689924
1755;DE;0.008362405
1756;DE;0.010034885
1757;DE;0.011707366
1758;DE;0.013379847
1759;DE;0.015052328
1760;DE;0.016724809
1761;DE;0.01839729
1762;DE;0.020069771
1763;DE;0.021742252
1764;DE;0.023414733
1765;DE;0.025087214
1766;DE;0.026759695
1767;DE;0.028432175
1768;DE;0.030104656
1769;DE;0.031777137
1770;DE;0.033449618
1771;DE;0.035122099
1772;DE;0.03679458
1773;DE;0.038467061
1774;DE;0.040139542
1775;DE;0.041812023
1776;DE;0.043484504
1777;DE;0.045156985
1778;DE;0.046829465
1779;DE;0.048501946
1780;DE;0.050174427
1781;DE;0.051846908
1782;DE;0.053519389
1783;DE;0.05519187
1784;DE;0.056864351
1785;DE;0.058536832
1786;DE;0.060209313
1787;DE;0.061881794
1788;DE;0.063554274
1789;DE;0.065226755
1790;DE;0.066899236
1791;DE;0.068571717
1792;DE;0.57955171
1793;DE;0.59316108
1794;DE;0.55504391
1795;DE;0.56069536
1796;DE;0.657863
1797;DE;0.67545134
1798;DE;0.70497658
1799;DE;0.76235457
1800;DE;0.94705943
1801;DE;0.6662254
1802;DE;0.68779271
1803;DE;0.66957037
1804;DE;1.18
1805;DE;1.22
1806;DE;1.11
1807;DE;3.02
1808;DE;1.07
1809;DE;1.11
1810;DE;1.16
1811;DE;1.11
1812;DE;1.09
1813;DE;1.07
1814;DE;1.07
1815;DE;1.23
1816;DE;2.70
1817;DE;3.78
1818;DE;3.95
1819;DE;3.67
1820;DE;3.79
1821;DE;3.95
1822;DE;4.06
1823;DE;4.50
1824;DE;3.63
1825;DE;4.84
1826;DE;4.68
1827;DE;5.06
1828;DE;5.06
1829;DE;4.08
1830;DE;5.34
1831;DE;5.12
1832;DE;3.88
1833;DE;4.89
1834;DE;4.93
1835;DE;5.50
1836;DE;5.78
1837;DE;6.61
1838;DE;7.35
1839;DE;7.77
1840;DE;10.11
1841;DE;10.52
1842;DE;11.97
1843;DE;11.34
1844;DE;11.97
1845;DE;13.85
1846;DE;14.48
1847;DE;15.19
1848;DE;14.09
1849;DE;14.96
1850;DE;16.67
1851;DE;18.54
1852;DE;21.04
1853;DE;22.76
1854;DE;26.67
1855;DE;31.28
1856;DE;33.78
1857;DE;35.96
1858;DE;38.86
1859;DE;36.90
1860;DE;39.70
1861;DE;45.07
1862;DE;49.65
1863;DE;53.84
1864;DE;61.74
1865;DE;69.17
1866;DE;68.58
1867;DE;75.38
1868;DE;81.07
1869;DE;84.59
1870;DE;83.58
1871;DE;92.15
1872;DE;99.35
1873;DE;106.00
1874;DE;76.80
1875;DE;109.16
1876;DE;111.14
1877;DE;108.72
1878;DE;112.15
1879;DE;118.91
1880;DE;133.67
1881;DE;144.19
1882;DE;154.32
1883;DE;164.49
