region,energy,potential_class,value_TWh
Burgenland,pv_area,technical,13.5
Burgenland,pv_area,until_2030,
Burgenland,pv_roof,technical,4
Burgenland,pv_roof,until_2030,
Burgenland,water,technical,
Burgenland,water,until_2030,
Burgenland,wind,technical,35.5
Burgenland,wind,until_2030,18.209
Kärnten,pv_area,technical,19.1
Kärnten,pv_area,until_2030,
Kärnten,pv_roof,technical,6.6
Kärnten,pv_roof,until_2030,
Kärnten,water,technical,
Kärnten,water,until_2030,
Kärnten,wind,technical,14
Kärnten,wind,until_2030,8.727
Niederösterreich,pv_area,technical,57.8
Niederösterreich,pv_area,until_2030,
Niederösterreich,pv_roof,technical,19.5
Niederösterreich,pv_roof,until_2030,
Niederösterreich,water,technical,
Niederösterreich,water,until_2030,
Niederösterreich,wind,technical,118.8
Niederösterreich,wind,until_2030,56.793
Oberösterreich,pv_area,technical,33.8
Oberösterreich,pv_area,until_2030,
Oberösterreich,pv_roof,technical,17.9
Oberösterreich,pv_roof,until_2030,
Oberösterreich,water,technical,
Oberösterreich,water,until_2030,
Oberösterreich,wind,technical,13
Oberösterreich,wind,until_2030,8.238
Salzburg,pv_area,technical,12.7
Salzburg,pv_area,until_2030,
Salzburg,pv_roof,technical,4.9
Salzburg,pv_roof,until_2030,
Salzburg,water,technical,
Salzburg,water,until_2030,
Salzburg,wind,technical,6.2
Salzburg,wind,until_2030,3.282
Steiermark,pv_area,technical,34.9
Steiermark,pv_area,until_2030,
Steiermark,pv_roof,technical,13.2
Steiermark,pv_roof,until_2030,
Steiermark,water,technical,
Steiermark,water,until_2030,
Steiermark,wind,technical,33.8
Steiermark,wind,until_2030,25.898
Tirol,pv_area,technical,15.8
Tirol,pv_area,until_2030,
Tirol,pv_roof,technical,7.5
Tirol,pv_roof,until_2030,
Tirol,water,technical,
Tirol,water,until_2030,
Tirol,wind,technical,4.5
Tirol,wind,until_2030,3.539
Vorarlberg,pv_area,technical,4.7
Vorarlberg,pv_area,until_2030,
Vorarlberg,pv_roof,technical,3.1
Vorarlberg,pv_roof,until_2030,
Vorarlberg,water,technical,
Vorarlberg,water,until_2030,
Vorarlberg,wind,technical,1.7
Vorarlberg,wind,until_2030,1.395
Wien,pv_area,technical,5.2
Wien,pv_area,until_2030,
Wien,pv_roof,technical,5
Wien,pv_roof,until_2030,
Wien,water,technical,
Wien,water,until_2030,
Wien,wind,technical,0.7
Wien,wind,until_2030,0.104
