year,region,pv mwh,pv,windkraft mwh,windkraft,wasserkraft,wasserkraft mwh
1988,Kärnten,,0.0000,,0.0000,4.4965,4496518.0
1988,Burgenland,,0.0000,,0.0000,0.0000,
1988,Niederösterreich,,0.0000,,0.0000,7.2923,7292299.0
1988,Oberösterreich,,0.0000,,0.0000,10.3214,10321424.0
1988,Salzburg,,0.0000,,0.0000,2.8717,2871717.0
1988,Steiermark,,0.0000,,0.0000,2.6753,2675292.0
1988,Tirol,,0.0000,,0.0000,5.3255,5325488.0
1988,Vorarlberg,,0.0000,,0.0000,2.3175,2317462.0
1988,Wien,,0.0000,,0.0000,0.0000,
1989,Kärnten,,0.0000,,0.0000,4.1249,4124923.0
1989,Burgenland,,0.0000,,0.0000,0.0044,4350.0
1989,Niederösterreich,,0.0000,,0.0000,7.2005,7200489.0
1989,Oberösterreich,,0.0000,,0.0000,10.0181,10018074.0
1989,Salzburg,,0.0000,,0.0000,2.8771,2877085.0
1989,Steiermark,,0.0000,,0.0000,3.0957,3095663.0
1989,Tirol,,0.0000,,0.0000,5.4734,5473414.0
1989,Vorarlberg,,0.0000,,0.0000,2.2884,2288432.0
1989,Wien,,0.0000,,0.0000,0.0000,
1990,Kärnten,,0.0000,,0.0000,3.6686,3668600.0
1990,Burgenland,,0.0000,,0.0000,0.0041,4100.0
1990,Niederösterreich,,0.0000,,0.0000,6.3980,6398000.0
1990,Oberösterreich,,0.0000,,0.0000,8.7648,8764800.0
1990,Salzburg,,0.0000,,0.0000,2.6145,2614500.0
1990,Steiermark,,0.0000,,0.0000,2.7000,2700000.0
1990,Tirol,,0.0000,,0.0000,5.1111,5111100.0
1990,Vorarlberg,,0.0000,,0.0000,2.2479,2247900.0
1990,Wien,,0.0000,,0.0000,0.0000,
1991,Kärnten,,0.0000,,0.0000,4.5335,4533510.0
1991,Burgenland,,0.0000,,0.0000,0.0052,5206.0
1991,Niederösterreich,,0.0000,,0.0000,5.8508,5850844.0
1991,Oberösterreich,,0.0000,,0.0000,8.1868,8186831.0
1991,Salzburg,,0.0000,,0.0000,2.7508,2750773.0
1991,Steiermark,,0.0000,,0.0000,2.6802,2680185.0
1991,Tirol,,0.0000,,0.0000,5.2943,5294328.0
1991,Vorarlberg,,0.0000,,0.0000,2.1417,2141723.0
1991,Wien,,0.0000,,0.0000,0.0000,
1992,Kärnten,,0.0000,,0.0000,4.4646,4464639.0
1992,Burgenland,,0.0000,,0.0000,0.0049,4937.0
1992,Niederösterreich,,0.0000,,0.0000,6.7182,6718201.0
1992,Oberösterreich,,0.0000,,0.0000,9.5636,9563614.0
1992,Salzburg,,0.0000,,0.0000,2.9931,2993149.0
1992,Steiermark,,0.0000,,0.0000,2.9340,2933964.0
1992,Tirol,,0.0000,,0.0000,5.6686,5668596.0
1992,Vorarlberg,,0.0000,,0.0000,2.5013,2501300.0
1992,Wien,,0.0000,,0.0000,0.0000,
1993,Kärnten,,0.0000,,0.0000,4.5977,4597683.0
1993,Burgenland,,0.0000,,0.0000,0.0041,4066.0
1993,Niederösterreich,,0.0000,,0.0000,7.0099,7009876.0
1993,Oberösterreich,,0.0000,,0.0000,10.2923,10292276.0
1993,Salzburg,,0.0000,,0.0000,3.5619,3561896.0
1993,Steiermark,,0.0000,,0.0000,2.9526,2952614.0
